168,Bumbesti-Jiu,Gorj,11882
169,Urlati,Prahova,11858
170,Macin,Tulcea,11803
171,Busteni,Prahova,11787
172,Boldesti-Scaeni,Prahova,11505
173,Lipova,Arad,11491
174,Bolintin-Vale,Giurgiu,11464
175,Nasaud,Bistrita-Nasaud,11365
176,Cristuru Secuiesc,Harghita,11291
177,Harsova,Constanta,11198
178,Basarabi,Constanta,1107
179,Victoria,Brasov,10896
180,Babadag,Tulcea,10878
181,Alesd,Bihor,10852
182,Titu,Dambovita,10711
183,Sangeorz-Bai,Bistrita-Nasaud,10702
184,Valea lui Mihai,Bihor,10665
185,Anina,Caras-Severin,10594
186,Otopeni,Ilfov,10515
187,Jimbolia,Timis,10497
188,Negresti,Vaslui,10481
189,Baraolt,Covasna,10464
190,Ineu,Arad,10416
191,Topoloveni,Arges,10329
192,Tasnad,Satu Mare,10188
193,Plopeni,Prahova,10083
194,Siret,Suceava,10003
195,Huedin,Cluj,9955
196,Panciu,Vrancea,9834
197,Iernut,Mures,9833
198,Curtici,Arad,9762
199,Budesti,Calarasi,9596
200,Stei,Bihor,9466
201,Seini,Maramures,9439
202,Targu Carbunesti,Gorj,9338
203,Balan,Harghita,9295
204,Eforie,Constanta,9294
205,Zlatna,Alba,9254
206,Talmaciu,Sibiu,9147
207,Intorsura Buzaului,Covasna,9081
208,Calimanesti-Caciulata,Valcea,8923
209,Bicaz,Neamt,8911
210,Dumbraveni,Sibiu,8812
211,Chisineu-Cris,Arad,8724
212,Segarcea,Dolj,8704
213,Saveni,Botosani,8685
214,Campeni,Alba,8587
215,Cehu Silvaniei,Salaj,8468
216,Nadlac,Arad,8422
217,Dealu,Giurgiu,8336
218,Buzias,Timis,8128
219,Fieni,Dambovita,8092
220,Targu Bujor,Galati,8044
221,Odobesti,Vrancea,7985
222,Pogoanele,Buzau,7614
223,Brezoi,Valcea,7589
224,Tismana,Gorj,7578
225,Faget,Timis,7519
226,Insuratei,Braila,7501
227,Horezu,Valcea,7446
228,Pancota,Arad,7418
229,Vlahita,Harghita,7392
230,Techirghiol,Constanta,7388
231,Teius,Alba,7338
232,Slanic,Prahova,7249
233,Mihailesti,Giurgiu,7161
234,Vanju Mare,Mehedinti,7074
235,Deta,Timis,7059
236,Sebis,Arad,6829
237,Abrud,Alba,6803
238,Predeal,Brasov,6735
239,Lehliu Gara,Calarasi,6667
240,Piatra Olt,Olt,6583
241,Geoagiu,Hunedoara,629
242,Rupea,Brasov,6246
243,Fundulea,Calarasi,6217
244,Novaci,Gorj,6151
245,Azuga,Prahova,6119
246,Aninoasa,Hunedoara,6108
247,Baile Herculane,Caras-Severin,6051
248,Baia de Arama,Mehedinti,5724
249,Isaccea,Tulcea,5614
250,Negru Voda,Constanta,5529
251,Cavnic,Maramures,5494
252,Slanic Moldova,Bacau,5375
253,Ticleni,Gorj,5205
254,Copsa Mica,Sibiu,5157
255,Sulina,Tulcea,514
256,Baia de Aries,Alba,4877
257,Baile Olanesti,Valcea,4814
258,Solca,Suceava,4687
259,Faurei,Braila,4626
260,Ocna Sibiului,Sibiu,4184
261,Beresti,Galati,3926
262,Ocnele Mari,Valcea,3591
263,Baile Govora,Valcea,3147
264,Borsec,Harghita,3109
265,Vascau,Bihor,3032
266,Nucet,Bihor,2851
267,Baile Tusnad,Harghita,1802
